0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:10:44 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:06 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:07 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:07 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:08 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:08 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:09 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:09 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:09 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:12:06 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:12:06 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:17:55 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:17:56 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:17:56 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:24:48 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:24:49 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:24:49 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:25:38 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:09 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:09 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:09 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:14 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:14 +0530] "GET /BootStramp1/register1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:27 +0530] "GET /BootStramp1/first.html HTTP/1.1" 200 3502
